17758;36.19;-0.01;0.01;1.01;-1.34;-2.26;-2.56;1.03;2021-06-01 18:14:47.000;10
17759;36.19;0;0.01;1.01;-1.34;-2.26;-2.69;1.03;2021-06-01 18:14:47.580;10
17760;36.19;-0.01;0.01;1.02;-1.34;-2.32;-2.5;1.03;2021-06-01 18:14:48.160;10
17761;36.19;0;0.01;1.02;-1.34;-2.26;-2.56;1.03;2021-06-01 18:14:48.740;10
17762;36.19;-0.01;0.01;1.01;-1.34;-2.26;-2.56;1.03;2021-06-01 18:14:49.320;10
17763;36.15;0;0.01;1.02;-1.34;-2.26;-2.56;1.03;2021-06-01 18:14:49.900;10
17764;36.19;-0.01;0.01;1.02;-1.34;-2.32;-2.5;1.03;2021-06-01 18:14:50.479;10
17765;36.15;-0.01;0.01;1.02;-1.22;-2.26;-2.56;1.03;2021-06-01 18:14:51.059;10
17766;36.19;-0.01;0.01;1.02;-1.34;-2.2;-2.5;1.03;2021-06-01 18:14:51.639;10
17767;36.15;-0.01;0.01;1.02;-1.28;-2.26;-2.62;1.03;2021-06-01 18:14:52.218;10
17768;36.15;0;0.01;1.01;-1.28;-2.32;-2.5;1.03;2021-06-01 18:14:52.799;10
17769;36.15;-0.01;0.01;1.02;-1.28;-2.26;-2.5;1.03;2021-06-01 18:14:53.377;10
17770;36.15;0;0.01;1.02;-1.34;-2.26;-2.5;1.03;2021-06-01 18:14:53.959;10
17771;36.15;-0.01;0.01;1.02;-1.34;-2.26;-2.56;1.03;2021-06-01 18:14:54.538;10
17772;36.19;0;0.01;1.01;-1.4;-2.14;-2.5;1.03;2021-06-01 18:14:55.118;10
17773;36.15;-0.01;0.01;1.01;-1.28;-2.2;-2.56;1.03;2021-06-01 18:14:55.699;10
17774;36.15;0;0.01;1.02;-1.34;-2.2;-2.56;1.03;2021-06-01 18:14:56.280;10
17775;36.15;0;0.01;1.01;-1.34;-2.26;-2.56;1.03;2021-06-01 18:14:56.858;10
17776;36.15;0;0.01;1.01;-1.34;-2.32;-2.56;1.03;2021-06-01 18:14:57.437;10
17777;36.15;0;0.01;1.02;-1.34;-2.26;-2.44;1.03;2021-06-01 18:14:58.020;10
17778;36.15;-0.01;0.01;1.02;-1.34;-2.26;-2.5;1.03;2021-06-01 18:14:58.597;10
17779;36.15;0;0.01;1.02;-1.34;-2.26;-2.62;1.03;2021-06-01 18:14:59.177;10
17780;36.15;0;0.01;1.01;-1.4;-2.2;-2.5;1.03;2021-06-01 18:14:59.763;10
17781;36.12;0;0.01;1.01;-1.34;-2.32;-2.62;1.03;2021-06-01 18:15:00.337;10
17782;36.15;-0.01;0.01;1.02;-1.34;-2.32;-2.56;1.03;2021-06-01 18:15:00.918;10
17783;36.15;-0.01;0.01;1.01;-1.28;-2.2;-2.62;1.03;2021-06-01 18:15:01.502;10
17784;36.12;-0.01;0.01;1.01;-1.28;-2.32;-2.56;1.03;2021-06-01 18:15:02.077;10
17785;36.12;-0.01;0.01;1.01;-1.28;-2.26;-2.56;1.03;2021-06-01 18:15:02.657;10
17786;36.15;-0.01;0.01;1.02;-1.34;-2.26;-2.5;1.03;2021-06-01 18:15:03.238;10
17787;36.15;-0.01;0.01;1.02;-1.34;-2.26;-2.62;1.03;2021-06-01 18:15:03.817;10
17788;36.15;-0.01;0.01;1.02;-1.34;-2.26;-2.5;1.03;2021-06-01 18:15:04.397;10
17789;36.15;0;0.01;1.01;-1.4;-2.2;-2.5;1.03;2021-06-01 18:15:04.978;10
17790;36.15;-0.01;0.01;1.01;-1.4;-2.32;-2.56;1.03;2021-06-01 18:15:05.560;10
17791;36.15;-0.01;0.01;1.02;-1.4;-2.38;-2.56;1.03;2021-06-01 18:15:06.137;10
17792;36.15;0;0.01;1.02;-1.34;-2.26;-2.56;1.03;2021-06-01 18:15:06.717;10
17793;36.12;-0.01;0.01;1.01;-1.34;-2.26;-2.56;1.03;2021-06-01 18:15:07.297;10
17794;36.12;-0.01;0.01;1.02;-1.28;-2.26;-2.5;1.03;2021-06-01 18:15:07.878;10
17795;36.15;0;0.01;1.02;-1.34;-2.26;-2.56;1.03;2021-06-01 18:15:08.457;10
17796;36.12;-0.01;0.01;1.02;-1.34;-2.32;-2.56;1.03;2021-06-01 18:15:09.036;10
17797;36.12;-0.01;0.01;1.02;-1.28;-2.32;-2.5;1.03;2021-06-01 18:15:09.616;10
17798;36.15;-0.01;0.01;1.02;-1.28;-2.32;-2.5;1.03;2021-06-01 18:15:10.196;10
17799;36.15;-0.01;0.01;1.01;-1.34;-2.26;-2.56;1.03;2021-06-01 18:15:10.776;10
17800;36.15;0;0.01;1.01;-1.34;-2.38;-2.5;1.03;2021-06-01 18:15:11.360;10
17801;36.15;0;0.01;1.01;-1.34;-2.32;-2.56;1.03;2021-06-01 18:15:11.936;10
17802;36.15;-0.01;0.01;1.01;-1.34;-2.32;-2.56;1.03;2021-06-01 18:15:12.516;10
17803;36.15;0;0.01;1.02;-1.4;-2.32;-2.5;1.03;2021-06-01 18:15:13.097;10
17804;36.15;0;0.01;1.02;-1.4;-2.2;-2.5;1.03;2021-06-01 18:15:13.677;10
17805;36.15;-0.01;0.01;1.02;-1.28;-2.32;-2.56;1.03;2021-06-01 18:15:14.257;10
