88108;64;96;325;3;2021-05-07 11:29:54.683
88109;64;96;325;3;2021-05-07 11:29:54.704
88110;64;96;326;3;2021-05-07 11:29:54.729
88111;64;96;333;3;2021-05-07 11:29:54.749
88112;64;96;326;3;2021-05-07 11:29:54.767
88113;64;96;326;3;2021-05-07 11:29:54.788
88114;64;96;340;3;2021-05-07 11:29:54.811
88115;64;96;333;3;2021-05-07 11:29:54.836
88116;64;96;323;3;2021-05-07 11:29:54.861
88117;64;96;324;3;2021-05-07 11:29:54.881
88118;64;96;337;3;2021-05-07 11:29:54.902
88119;64;96;336;3;2021-05-07 11:29:54.924
88120;64;96;333;3;2021-05-07 11:29:54.957
88121;64;96;336;3;2021-05-07 11:29:54.985
88122;64;96;351;3;2021-05-07 11:29:55.315
88123;64;96;344;3;2021-05-07 11:29:55.527
88124;64;96;349;3;2021-05-07 11:29:55.550
88125;64;96;345;3;2021-05-07 11:29:55.576
88126;64;96;348;3;2021-05-07 11:29:55.595
88127;64;96;342;3;2021-05-07 11:29:55.617
88128;64;96;386;3;2021-05-07 11:29:55.639
88129;64;96;376;3;2021-05-07 11:29:55.666
88130;64;96;78;3;2021-05-07 11:29:55.685
88131;64;96;365;3;2021-05-07 11:29:55.707
88132;64;96;372;3;2021-05-07 11:29:55.728
88133;64;96;375;3;2021-05-07 11:29:55.749
88134;64;96;391;3;2021-05-07 11:29:55.771
88135;64;96;378;3;2021-05-07 11:29:55.790
88136;64;96;386;3;2021-05-07 11:29:55.836
88137;64;96;397;3;2021-05-07 11:29:55.857
88138;64;96;430;3;2021-05-07 11:29:55.879
88139;64;96;433;3;2021-05-07 11:29:55.901
88140;64;96;443;3;2021-05-07 11:29:55.922
88141;64;96;440;3;2021-05-07 11:29:55.949
88142;64;96;428;3;2021-05-07 11:29:55.971
88143;64;96;376;3;2021-05-07 11:29:55.995
88144;64;96;360;3;2021-05-07 11:29:56.018
88145;68;96;343;3;2021-05-07 11:29:56.037
88146;68;96;342;3;2021-05-07 11:29:56.057
88147;68;96;346;3;2021-05-07 11:29:56.079
88148;68;96;351;3;2021-05-07 11:29:56.100
88149;68;96;339;3;2021-05-07 11:29:56.125
88150;68;96;337;3;2021-05-07 11:29:56.145
88151;68;96;353;3;2021-05-07 11:29:56.167
88152;68;96;344;3;2021-05-07 11:29:56.189
88153;68;96;335;3;2021-05-07 11:29:56.210
88154;68;96;337;3;2021-05-07 11:29:56.230
